epoch,val_acc,val_loss,train_acc,train_loss,val_max
1,0.7484065749748406,0.6438376738670024,0.5097760695187166,0.7206153273582458,0.7484065749748406
2,0.8128144917812814,0.48696779507271787,0.7312834224598931,0.5713222622871399,0.8128144917812814
3,0.8212009392821201,0.4431728169004968,0.765207219251337,0.574231743812561,0.8212009392821201
4,0.8349547131834955,0.4033093750476837,0.7918616310160428,0.4365278482437134,0.8349547131834955
5,0.8534048976853404,0.362557534841781,0.8152573529411765,0.43440577387809753,0.8534048976853404
6,0.8748742032874874,0.32103016306745247,0.8304645721925134,0.48440277576446533,0.8748742032874874
7,0.8705132505870513,0.32508430994571524,0.8431651069518716,0.4143677055835724,0.8748742032874874
8,0.8856088560885609,0.29803108027640807,0.8500167112299465,0.3788451850414276,0.8856088560885609
9,0.893659845689366,0.2834664183728238,0.8663101604278075,0.36202216148376465,0.893659845689366
10,0.8906407245890641,0.28240878341045783,0.8650568181818182,0.35831546783447266,0.893659845689366
11,0.8929889298892989,0.26888688606150607,0.8755848930481284,0.2876027822494507,0.893659845689366
12,0.9080845353908085,0.2467226357536113,0.8839405080213903,0.3417820930480957,0.9080845353908085
13,0.9077490774907749,0.24194429640440232,0.8869485294117647,0.22367268800735474,0.9080845353908085
14,0.9208319355920832,0.22157597478399885,0.8878676470588235,0.29330310225486755,0.9208319355920832
15,0.9161355249916135,0.22668703296717177,0.8963903743315508,0.27003467082977295,0.9208319355920832
16,0.9080845353908085,0.233986053378024,0.8958054812834224,0.2166183441877365,0.9208319355920832
17,0.9238510566923851,0.2126947779287683,0.9003175133689839,0.23307497799396515,0.9238510566923851
18,0.9204964776920497,0.2129453125786274,0.9032419786096256,0.2493758201599121,0.9238510566923851
19,0.922509225092251,0.20680594396718005,0.9030748663101604,0.15992900729179382,0.9238510566923851
20,0.9235155987923516,0.2056018366141522,0.9099264705882353,0.1755014955997467,0.9238510566923851
21,0.9308956725930896,0.19851117200673896,0.9129344919786097,0.18730591237545013,0.9308956725930896
22,0.9339147936933915,0.1828498992514103,0.9131016042780749,0.17232273519039154,0.9339147936933915
23,0.9198255618919825,0.20177440868413193,0.9162767379679144,0.17345823347568512,0.9339147936933915
24,0.9376048305937604,0.18105483055114746,0.921457219251337,0.17805436253547668,0.9376048305937604
25,0.9265347198926535,0.18850058031843064,0.9202874331550802,0.18796825408935547,0.9376048305937604
26,0.9412948674941295,0.16643170568537205,0.9215407754010695,0.23456928133964539,0.9412948674941295
27,0.9322375041932237,0.18502141947441914,0.9239639037433155,0.25810474157333374,0.9412948674941295
28,0.934250251593425,0.1773632899560827,0.9303141711229946,0.17547507584095,0.9412948674941295
29,0.9433076148943308,0.1672648179562802,0.9328208556149733,0.20809434354305267,0.9433076148943308
30,0.940959409594096,0.158510075446139,0.9315675133689839,0.21176502108573914,0.9433076148943308
31,0.9493458570949346,0.1455377332390623,0.9288101604278075,0.16582749783992767,0.9493458570949346
32,0.9402884937940289,0.1607534902844023,0.937917780748663,0.16753053665161133,0.9493458570949346
33,0.9476685675947668,0.14256146772110717,0.9398395721925134,0.1484043449163437,0.9493458570949346
34,0.9399530358939953,0.15971981995600334,0.9427640374331551,0.24858184158802032,0.9493458570949346
35,0.9480040254948005,0.1415641021696811,0.9401737967914439,0.12149504572153091,0.9493458570949346
36,0.9463267359946327,0.14556199129908642,0.9471925133689839,0.15362532436847687,0.9493458570949346
37,0.9459912780945992,0.1442994790032823,0.9490307486631016,0.13405686616897583,0.9493458570949346
38,0.949010399194901,0.1385346792162733,0.9476102941176471,0.19821614027023315,0.9493458570949346
39,0.9365984568936598,0.16136008128523827,0.9515374331550802,0.23446662724018097,0.9493458570949346
