epoch,val_acc,val_loss,train_acc,train_loss,val_max
1,0.7681985910768199,0.5802296368365593,0.5417780748663101,0.7087732553482056,0.7681985910768199
2,0.7809459912780946,0.5445591243023568,0.7325367647058824,0.633899986743927,0.7809459912780946
3,0.8195236497819524,0.42830205090502477,0.7774064171122995,0.5118216276168823,0.8195236497819524
4,0.83160013418316,0.39752483684965906,0.7997994652406417,0.5294867157936096,0.83160013418316
5,0.8466957396846696,0.3639105976896083,0.8206885026737968,0.4705233871936798,0.8466957396846696
6,0.8725259979872526,0.32007712918393155,0.836480614973262,0.45332083106040955,0.8725259979872526
7,0.8856088560885609,0.2956750808244056,0.85076871657754,0.43932849168777466,0.8856088560885609
8,0.9007044615900704,0.2644469252926238,0.8685661764705882,0.3607518970966339,0.9007044615900704
9,0.889969808788997,0.2742218752490713,0.873245320855615,0.2632777690887451,0.9007044615900704
10,0.8976853404897686,0.2619797953582825,0.8812667112299465,0.27626872062683105,0.9007044615900704
11,0.9020462931902047,0.2501152757000416,0.8858622994652406,0.3079013228416443,0.9020462931902047
12,0.8903052666890305,0.2621409236750704,0.8950534759358288,0.34809479117393494,0.9020462931902047
13,0.9100972827910098,0.2181880903687883,0.898980614973262,0.32389262318611145,0.9100972827910098
14,0.9131164038913117,0.23120389434885472,0.9041610962566845,0.25804123282432556,0.9131164038913117
15,0.9261992619926199,0.18965241471503644,0.9075033422459893,0.26964884996414185,0.9261992619926199
16,0.919490103991949,0.20886971738110197,0.9161931818181818,0.32608771324157715,0.9261992619926199
17,0.9184837302918484,0.21120446381416727,0.9171958556149733,0.24357935786247253,0.9261992619926199
18,0.9362629989936263,0.1798610194249356,0.9235461229946524,0.22936540842056274,0.9362629989936263
19,0.9255283461925529,0.19936866677821952,0.9282252673796791,0.21168187260627747,0.9362629989936263
20,0.9382757463938276,0.1716487020888227,0.930230614973262,0.21595028042793274,0.9382757463938276
21,0.9238510566923851,0.18619305672163658,0.9362466577540107,0.19106528162956238,0.9382757463938276
22,0.9480040254948005,0.1477363333106041,0.9406751336898396,0.19572991132736206,0.9480040254948005
23,0.9402884937940289,0.14530404863205362,0.9384191176470589,0.2181028574705124,0.9480040254948005
24,0.9436430727943643,0.15489667115059305,0.9422627005347594,0.21118894219398499,0.9480040254948005
25,0.9433076148943308,0.14571564034261603,0.9471925133689839,0.18167656660079956,0.9480040254948005
26,0.9288829251928883,0.17882931898248958,0.9457720588235294,0.14375600218772888,0.9480040254948005
27,0.9476685675947668,0.15347174483727902,0.9450200534759359,0.1302928626537323,0.9480040254948005
28,0.9285474672928548,0.17215667902789217,0.9506183155080213,0.17582321166992188,0.9480040254948005
29,0.9449849043944984,0.14401317268927047,0.952707219251337,0.17368538677692413,0.9480040254948005
30,0.9406239516940624,0.15515063964623085,0.9514538770053476,0.14063839614391327,0.9480040254948005
31,0.9510231465951023,0.12694937854688218,0.953542780748663,0.16564427316188812,0.9510231465951023
32,0.9500167728950016,0.15708355082476394,0.9569685828877005,0.14838317036628723,0.9510231465951023
33,0.941630325394163,0.14635609462857246,0.957971256684492,0.11085925251245499,0.9510231465951023
34,0.9480040254948005,0.13796763653133778,0.9557152406417112,0.13063956797122955,0.9510231465951023
35,0.9550486413955048,0.1173086035600368,0.9623997326203209,0.06309865415096283,0.9550486413955048
36,0.9520295202952029,0.14494516557835518,0.963903743315508,0.129608154296875,0.9550486413955048
37,0.9610868835961087,0.11405293556286934,0.9628175133689839,0.10667602717876434,0.9610868835961087
38,0.9248574303924857,0.20328816184972195,0.9630681818181818,0.06539393961429596,0.9610868835961087
39,0.9020462931902047,0.2626635693806283,0.9599766042780749,0.19053250551223755,0.9610868835961087
40,0.9426366990942636,0.16361329934381424,0.9637366310160428,0.11130299419164658,0.9610868835961087
41,0.940959409594096,0.15091461815098497,0.9649899732620321,0.17709863185882568,0.9610868835961087
42,0.9590741361959074,0.1217311422558541,0.9689171122994652,0.12388888746500015,0.9610868835961087
43,0.949010399194901,0.14834208941047497,0.9659926470588235,0.0915619283914566,0.9610868835961087
44,0.960080509896008,0.12104490090240823,0.9692513368983957,0.08841319382190704,0.9610868835961087
45,0.9362629989936263,0.16780941053590875,0.9703375668449198,0.05412645637989044,0.9610868835961087
46,0.9476685675947668,0.17109822806842784,0.9743482620320856,0.05659572035074234,0.9610868835961087
47,0.9580677624958068,0.11716189290931885,0.9713402406417112,0.09073586761951447,0.9610868835961087
48,0.9553840992955384,0.1370061681942737,0.973596256684492,0.10474690794944763,0.9610868835961087
49,0.9332438778933244,0.18037340845516386,0.9700868983957219,0.11985290795564651,0.9610868835961087
50,0.9506876886950688,0.1362476756281041,0.9737633689839572,0.07916728407144547,0.9610868835961087
51,0.9587386782958739,0.14128841356711186,0.976019385026738,0.07060152292251587,0.9610868835961087
52,0.9480040254948005,0.14106147569861818,0.9738469251336899,0.048582904040813446,0.9610868835961087
53,0.9637705467963771,0.10925072023367628,0.977774064171123,0.038544662296772,0.9637705467963771
54,0.95270043609527,0.13231502703212678,0.9781918449197861,0.035058215260505676,0.9637705467963771
55,0.949010399194901,0.1416320466297738,0.9756851604278075,0.09352710098028183,0.9637705467963771
56,0.9523649781952365,0.13719829354197421,0.9769385026737968,0.060599185526371,0.9637705467963771
57,0.9510231465951023,0.14924206560913553,0.9781918449197861,0.03838874027132988,0.9637705467963771
58,0.9563904729956391,0.12512517494565628,0.9746824866310161,0.11053524911403656,0.9637705467963771
59,0.9573968466957397,0.11947781648090545,0.9798629679144385,0.055434759706258774,0.9637705467963771
60,0.9604159677960415,0.1177646093704599,0.9805314171122995,0.04408852756023407,0.9637705467963771
61,0.9456558201945656,0.16151655711075094,0.9766042780748663,0.04343567043542862,0.9637705467963771
62,0.9456558201945656,0.16184075897995462,0.9817012032085561,0.03166733309626579,0.9637705467963771
63,0.9345857094934585,0.24223102993787604,0.9829545454545454,0.044795237481594086,0.9637705467963771
64,0.9610868835961087,0.13564415157158324,0.9782754010695187,0.06484909355640411,0.9637705467963771
65,0.9359275410935928,0.2028682491088167,0.9832052139037433,0.044295784085989,0.9637705467963771
66,0.9282120093928212,0.24014785822401655,0.9834558823529411,0.04950414597988129,0.9637705467963771
67,0.9634350888963435,0.10567957051890961,0.9824532085561497,0.04377803951501846,0.9637705467963771
68,0.9369339147936934,0.2554392020436043,0.9856283422459893,0.05541957542300224,0.9637705467963771
69,0.9573968466957397,0.14757213432421076,0.9805314171122995,0.10621216893196106,0.9637705467963771
70,0.9376048305937604,0.1913805753785245,0.9811998663101604,0.042834483087062836,0.9637705467963771
71,0.9174773565917478,0.3824467158063929,0.9804478609625669,0.033450961112976074,0.9637705467963771
72,0.9201610197920161,0.3092517551589519,0.9828709893048129,0.06917858868837357,0.9637705467963771
73,0.9573968466957397,0.1468776208447649,0.986798128342246,0.05535929277539253,0.9637705467963771
74,0.9506876886950688,0.1683607613469692,0.9872994652406417,0.012285403907299042,0.9637705467963771
75,0.9768534048976854,0.0953260138630867,0.9900568181818182,0.030447475612163544,0.9768534048976854
