epoch,val_acc,val_loss,train_acc,train_loss,val_max
1,0.7567930224756793,0.6093374420987799,0.5111965240641712,0.7869504690170288,0.7567930224756793
2,0.802750754780275,0.4792664881716383,0.7342914438502673,0.6148158311843872,0.802750754780275
3,0.8275746393827574,0.44079712096680984,0.7774064171122995,0.5755463242530823,0.8275746393827574
4,0.849379402884938,0.3750365224290401,0.8028910427807486,0.4571521282196045,0.849379402884938
5,0.8248909761824891,0.4288959541219346,0.8162600267379679,0.5128036141395569,0.849379402884938
6,0.8396511237839651,0.4006526159479263,0.8313001336898396,0.5061248540878296,0.849379402884938
7,0.8695068768869507,0.3423825115599531,0.8407419786096256,0.4257369637489319,0.8695068768869507
8,0.8822542770882255,0.29793577783919395,0.8522727272727273,0.3981061279773712,0.8822542770882255
9,0.8731969137873197,0.32112865181679423,0.8607954545454546,0.29510393738746643,0.8822542770882255
10,0.849379402884938,0.372394434949185,0.8669786096256684,0.35741767287254333,0.8822542770882255
11,0.8748742032874874,0.31215440497753466,0.8793449197860963,0.2972903847694397,0.8822542770882255
12,0.8892988929889298,0.2786509061747409,0.88360628342246,0.2974103093147278,0.8892988929889298
13,0.9037235826903723,0.2570513981453916,0.8898729946524064,0.3483220338821411,0.9037235826903723
14,0.9087554511908755,0.2440029208330398,0.8936330213903744,0.28183290362358093,0.9087554511908755
15,0.904729956390473,0.2343576675716867,0.899649064171123,0.31194353103637695,0.9087554511908755
16,0.9107681985910768,0.23636855834976156,0.9028241978609626,0.30385056138038635,0.9107681985910768
17,0.9141227775914122,0.23084881917593328,0.9079211229946524,0.2889101803302765,0.9141227775914122
18,0.922509225092251,0.20911592007317442,0.9140207219251337,0.26611822843551636,0.922509225092251
19,0.91580006709158,0.2249915694936793,0.9161096256684492,0.3151133358478546,0.922509225092251
20,0.8970144246897015,0.26803273469843764,0.9177807486631016,0.2600545883178711,0.922509225092251
21,0.9107681985910768,0.23789331570584724,0.9219585561497327,0.2852032780647278,0.922509225092251
22,0.9372693726937269,0.1787154516007038,0.9232954545454546,0.2565070390701294,0.9372693726937269
23,0.9392821200939282,0.16600940772827635,0.9314839572192514,0.21685460209846497,0.9392821200939282
